
   ·▄▄▄▄  ▄▄▄▄· .▄▄ ·▄▄▄▄▄▄▄▄ . ▄▄▄·
   ██▊ ██ ▐█ ▀█▊▐█ ▀.•██  ▀▄.▀·▐█ ▄█
   ▐█· ▐█▌▐█▀▀█▄▄▀▀▀█▄▐█.▊▐▀▀▊▄ ██▀·
   ██. ██ ██▄▊▐█▐█▄▊▐█▐█▌·▐█▄▄▌▐█▊·•
   ▀▀▀▀▀• ·▀▀▀▀  ▀▀▀▀ ▀▀▀  ▀▀▀ .▀   

   Buried volume (Vbur) will be computed
   Using a Cartesian grid-spacing of 0.0500 Angstrom
   Bondi atomic radii will be scaled by 1.0
   Hydrogen atoms are included

                  File   Atom    R/Å    Mol_Vol     %V_Bur     %S_Bur
     mol_0336_0001.xyz      1   3.50     371.55      28.62       0.00
     mol_0337_0001.xyz      1   3.50     262.47      35.10       0.00
     mol_0338_0001.xyz      1   3.50     289.83      34.27       0.00
     mol_0339_0001.xyz      1   3.50     342.79      38.53       0.00
     mol_0340_0001.xyz      1   3.50     229.72      33.64       0.00
     mol_0341_0001.xyz      1   3.50     248.74      41.44       0.00
     mol_0342_0001.xyz      1   3.50     294.86      29.20       0.00
     mol_0343_0001.xyz      1   3.50     250.03      33.72       0.00
     mol_0344_0001.xyz      1   3.50     265.90      38.65       0.00
     mol_0345_0001.xyz      1   3.50     245.44      34.75       0.00
     mol_0346_0001.xyz      1   3.50     341.51      30.78       0.00
     mol_0347_0001.xyz      1   3.50     201.92      29.91       0.00
     mol_0348_0001.xyz      1   3.50     322.58      34.30       0.00
     mol_0349_0001.xyz      1   3.50     317.88      28.65       0.00
     mol_0350_0001.xyz      1   3.50     265.58      37.47       0.00
     mol_0351_0001.xyz      1   3.50     160.83      33.39       0.00
     mol_0352_0001.xyz      1   3.50     311.85      29.02       0.00
     mol_0353_0001.xyz      1   3.50     304.43      30.93       0.00
     mol_0354_0001.xyz      1   3.50     394.16      36.78       0.00
     mol_0355_0001.xyz      1   3.50     285.01      39.60       0.00
     mol_0356_0001.xyz      1   3.50     278.56      31.01       0.00
     mol_0357_0001.xyz      1   3.50     280.33      29.84       0.00
     mol_0358_0001.xyz      1   3.50     291.77      30.19       0.00
     mol_0359_0001.xyz      1   3.50     278.60      28.51       0.00
     mol_0360_0001.xyz      1   3.50     327.29      33.80       0.00
     mol_0361_0001.xyz      1   3.50     193.45      30.90       0.00
     mol_0362_0001.xyz      1   3.50     344.12      28.62       0.00
     mol_0363_0001.xyz      1   3.50     310.37      31.05       0.00
     mol_0364_0001.xyz      1   3.50     325.72      33.27       0.00
     mol_0365_0001.xyz      1   3.50     313.73      26.57       0.00
     mol_0366_0001.xyz      1   3.50     323.47      31.47       0.00
     mol_0367_0001.xyz      1   3.50     309.03      35.07       0.00
     mol_0368_0001.xyz      1   3.50     306.66      46.43       0.00
     mol_0369_0001.xyz      1   3.50     207.35      26.63       0.00
     mol_0370_0001.xyz      1   3.50     247.31      33.54       0.00
     mol_0371_0001.xyz      1   3.50     277.02      38.63       0.00
     mol_0372_0001.xyz      1   3.50     294.19      39.06       0.00
     mol_0373_0001.xyz      1   3.50     289.53      30.92       0.00
     mol_0374_0001.xyz      1   3.50     281.30      43.63       0.00
     mol_0375_0001.xyz      1   3.50     316.12      26.73       0.00
     mol_0377_0001.xyz      1   3.50     308.28      39.98       0.00
     mol_0378_0001.xyz      1   3.50     235.17      40.09       0.00
     mol_0379_0001.xyz      1   3.50     220.50      39.74       0.00
     mol_0380_0001.xyz      1   3.50     250.74      32.09       0.00
     mol_0381_0001.xyz      1   3.50     288.35      30.94       0.00
     mol_0382_0001.xyz      1   3.50     290.82      34.97       0.00
     mol_0383_0001.xyz      1   3.50     209.58      25.46       0.00
     mol_0384_0001.xyz      1   3.50     282.50      34.29       0.00
     mol_0385_0001.xyz      1   3.50     269.27      34.88       0.00
     mol_0386_0001.xyz      1   3.50     162.44      29.57       0.00
     mol_0387_0001.xyz      1   3.50     301.47      30.98       0.00
     mol_0388_0001.xyz      1   3.50     302.31      28.62       0.00
     mol_0389_0001.xyz      1   3.50     284.79      33.98       0.00
