
   ·▄▄▄▄  ▄▄▄▄· .▄▄ ·▄▄▄▄▄▄▄▄ . ▄▄▄·
   ██▊ ██ ▐█ ▀█▊▐█ ▀.•██  ▀▄.▀·▐█ ▄█
   ▐█· ▐█▌▐█▀▀█▄▄▀▀▀█▄▐█.▊▐▀▀▊▄ ██▀·
   ██. ██ ██▄▊▐█▐█▄▊▐█▐█▌·▐█▄▄▌▐█▊·•
   ▀▀▀▀▀• ·▀▀▀▀  ▀▀▀▀ ▀▀▀  ▀▀▀ .▀   

   Buried volume (Vbur) will be computed
   Using a Cartesian grid-spacing of 0.0500 Angstrom
   Bondi atomic radii will be scaled by 1.07
   Hydrogen atoms are included

                  File   Atom    R/Å    Mol_Vol     %V_Bur     %S_Bur
     mol_0283_0001.xyz      1   3.50     327.36      34.00       0.00
     mol_0284_0001.xyz      1   3.50     260.39      33.64       0.00
     mol_0285_0001.xyz      1   3.50     278.83      31.37       0.00
     mol_0286_0001.xyz      1   3.50     298.08      46.61       0.00
     mol_0287_0001.xyz      1   3.50     289.22      32.55       0.00
     mol_0288_0001.xyz      1   3.50     414.14      43.17       0.00
     mol_0289_0001.xyz      1   3.50     252.39      38.75       0.00
     mol_0290_0001.xyz      1   3.50     280.22      36.34       0.00
     mol_0291_0001.xyz      1   3.50     295.61      41.36       0.00
     mol_0292_0001.xyz      1   3.50     371.03      41.26       0.00
     mol_0293_0001.xyz      1   3.50     240.70      34.62       0.00
     mol_0294_0001.xyz      1   3.50     190.32      34.76       0.00
     mol_0295_0001.xyz      1   3.50     252.77      35.27       0.00
     mol_0296_0001.xyz      1   3.50     250.54      33.76       0.00
     mol_0297_0001.xyz      1   3.50     332.46      40.07       0.00
     mol_0298_0001.xyz      1   3.50     227.39      39.72       0.00
     mol_0299_0001.xyz      1   3.50     291.57      42.41       0.00
     mol_0300_0001.xyz      1   3.50     315.17      45.90       0.00
     mol_0301_0001.xyz      1   3.50     360.52      48.00       0.00
     mol_0302_0001.xyz      1   3.50     391.88      34.65       0.00
     mol_0303_0001.xyz      1   3.50     379.74      34.62       0.00
     mol_0304_0001.xyz      1   3.50     363.54      30.23       0.00
     mol_0305_0001.xyz      1   3.50     429.93      41.09       0.00
     mol_0306_0001.xyz      1   3.50     328.22      35.34       0.00
     mol_0307_0001.xyz      1   3.50     297.23      34.73       0.00
     mol_0308_0001.xyz      1   3.50     307.08      37.66       0.00
     mol_0309_0001.xyz      1   3.50     419.26      49.38       0.00
     mol_0310_0001.xyz      1   3.50     360.83      32.21       0.00
     mol_0311_0001.xyz      1   3.50     325.32      43.05       0.00
     mol_0312_0001.xyz      1   3.50     362.67      25.85       0.00
     mol_0313_0001.xyz      1   3.50     287.77      32.66       0.00
     mol_0314_0001.xyz      1   3.50     276.67      37.35       0.00
     mol_0315_0001.xyz      1   3.50     287.82      32.29       0.00
     mol_0316_0001.xyz      1   3.50     332.28      40.33       0.00
     mol_0317_0001.xyz      1   3.50     338.51      38.88       0.00
     mol_0318_0001.xyz      1   3.50     366.94      32.08       0.00
     mol_0319_0001.xyz      1   3.50     266.18      37.99       0.00
     mol_0320_0001.xyz      1   3.50     259.09      47.57       0.00
     mol_0321_0001.xyz      1   3.50     372.46      37.32       0.00
     mol_0322_0001.xyz      1   3.50     329.56      51.33       0.00
     mol_0323_0001.xyz      1   3.50     293.46      31.59       0.00
     mol_0324_0001.xyz      1   3.50     332.83      32.23       0.00
     mol_0325_0001.xyz      1   3.50     257.27      33.26       0.00
     mol_0326_0001.xyz      1   3.50     337.52      42.10       0.00
     mol_0327_0001.xyz      1   3.50     396.11      45.19       0.00
     mol_0328_0001.xyz      1   3.50     252.02      31.23       0.00
     mol_0329_0001.xyz      1   3.50     310.98      31.89       0.00
     mol_0330_0001.xyz      1   3.50     382.61      41.71       0.00
     mol_0331_0001.xyz      1   3.50     387.50      32.07       0.00
     mol_0332_0001.xyz      1   3.50     213.26      44.20       0.00
     mol_0333_0001.xyz      1   3.50     309.54      40.00       0.00
     mol_0334_0001.xyz      1   3.50     230.73      43.34       0.00
     mol_0335_0001.xyz      1   3.50     311.16      44.60       0.00
     mol_0336_0001.xyz      1   3.50     418.75      32.22       0.00
     mol_0337_0001.xyz      1   3.50     295.96      38.89       0.00
     mol_0338_0001.xyz      1   3.50     327.64      38.81       0.00
     mol_0339_0001.xyz      1   3.50     386.13      42.64       0.00
     mol_0340_0001.xyz      1   3.50     258.55      37.29       0.00
     mol_0341_0001.xyz      1   3.50     280.85      45.48       0.00
     mol_0342_0001.xyz      1   3.50     333.00      32.90       0.00
