mol_file,atom1_idx,element
mol_0100_0001.xyz,12,N
mol_0101_0001.xyz,31,N
mol_0106_0001.xyz,12,N
mol_0107_0001.xyz,6,N
mol_0110_0001.xyz,10,N
mol_0114_0001.xyz,23,N
mol_0124_0001.xyz,5,N
mol_0126_0001.xyz,12,N
mol_0128_0001.xyz,8,N
mol_0134_0001.xyz,14,N
mol_0137_0001.xyz,22,N
mol_0142_0001.xyz,8,N
mol_0148_0001.xyz,5,N
mol_0159_0001.xyz,18,N
mol_0160_0001.xyz,14,N
mol_0162_0001.xyz,12,N
mol_0164_0001.xyz,22,N
mol_0168_0001.xyz,21,N
mol_0173_0001.xyz,17,N
mol_0176_0001.xyz,13,N
mol_0180_0001.xyz,11,N
mol_0182_0001.xyz,4,N
mol_0185_0001.xyz,10,N
mol_0195_0001.xyz,10,N
mol_0196_0001.xyz,6,N
mol_0197_0001.xyz,12,N
mol_0200_0001.xyz,4,N
mol_0206_0001.xyz,22,N
mol_0209_0001.xyz,8,N
mol_0210_0001.xyz,7,N
mol_0211_0001.xyz,15,N
mol_0212_0001.xyz,8,N
mol_0214_0001.xyz,8,N
mol_0216_0001.xyz,4,N
mol_0218_0001.xyz,15,N
mol_0219_0001.xyz,6,N
mol_0223_0001.xyz,9,N
mol_0224_0001.xyz,19,N
mol_0225_0001.xyz,20,N
mol_0230_0001.xyz,2,N
mol_0234_0001.xyz,3,N
mol_0238_0001.xyz,23,N
mol_0239_0001.xyz,2,N
mol_0240_0001.xyz,2,N
mol_0241_0001.xyz,23,N
mol_0242_0001.xyz,13,N
mol_0247_0001.xyz,9,N
mol_0255_0001.xyz,17,N
mol_0268_0001.xyz,2,N
mol_0269_0001.xyz,20,N
mol_0270_0001.xyz,13,N
mol_0271_0001.xyz,7,N
mol_0277_0001.xyz,16,N
mol_0279_0001.xyz,27,N
mol_0281_0001.xyz,10,N
mol_0282_0001.xyz,14,N
mol_0286_0001.xyz,17,N
mol_0287_0001.xyz,4,N
mol_0290_0001.xyz,18,N
mol_0297_0001.xyz,8,N
mol_0298_0001.xyz,3,N
mol_0302_0001.xyz,8,N
mol_0311_0001.xyz,13,N
mol_0314_0001.xyz,11,N
mol_0316_0001.xyz,25,N
mol_0317_0001.xyz,23,N
mol_0318_0001.xyz,13,N
mol_0322_0001.xyz,12,N
mol_0329_0001.xyz,4,N
mol_0330_0001.xyz,8,N
mol_0336_0001.xyz,22,N
mol_0337_0001.xyz,11,N
mol_0339_0001.xyz,14,N
mol_0340_0001.xyz,12,N
mol_0343_0001.xyz,13,N
mol_0354_0001.xyz,25,N
mol_0358_0001.xyz,7,N
mol_0365_0001.xyz,11,N
mol_0370_0001.xyz,12,N
mol_0371_0001.xyz,14,N
mol_0374_0001.xyz,15,N
mol_0378_0001.xyz,6,N
mol_0379_0001.xyz,8,N
mol_0381_0001.xyz,6,N
mol_0385_0001.xyz,17,N
mol_0387_0001.xyz,17,N
mol_0390_0001.xyz,5,N
mol_0391_0001.xyz,9,N
mol_0399_0001.xyz,4,N
mol_0404_0001.xyz,10,N
mol_0406_0001.xyz,6,N
mol_0408_0001.xyz,12,N
mol_0411_0001.xyz,14,N
