
   ·▄▄▄▄  ▄▄▄▄· .▄▄ ·▄▄▄▄▄▄▄▄ . ▄▄▄·
   ██▊ ██ ▐█ ▀█▊▐█ ▀.•██  ▀▄.▀·▐█ ▄█
   ▐█· ▐█▌▐█▀▀█▄▄▀▀▀█▄▐█.▊▐▀▀▊▄ ██▀·
   ██. ██ ██▄▊▐█▐█▄▊▐█▐█▌·▐█▄▄▌▐█▊·•
   ▀▀▀▀▀• ·▀▀▀▀  ▀▀▀▀ ▀▀▀  ▀▀▀ .▀   

   Buried volume (Vbur) will be computed
   Using a Cartesian grid-spacing of 0.0500 Angstrom
   Charry-Tkatchenko atomic radii will be scaled by 1.0
   Hydrogen atoms are included

                  File   Atom    R/Å    Mol_Vol     %V_Bur     %S_Bur
     mol_0246_0001.xyz      1   3.50     384.59      47.70       0.00
     mol_0247_0001.xyz      1   3.50     541.56      48.62       0.00
     mol_0248_0001.xyz      1   3.50     283.75      52.67       0.00
     mol_0249_0001.xyz      1   3.50     275.46      52.22       0.00
     mol_0250_0001.xyz      1   3.50     470.04      51.47       0.00
     mol_0251_0001.xyz      1   3.50     522.99      64.92       0.00
     mol_0252_0001.xyz      1   3.50     440.46      50.71       0.00
     mol_0253_0001.xyz      1   3.50     370.48      48.69       0.00
     mol_0254_0001.xyz      1   3.50     585.79      45.09       0.00
     mol_0255_0001.xyz      1   3.50     475.53      58.34       0.00
     mol_0256_0001.xyz      1   3.50     407.18      45.92       0.00
     mol_0257_0001.xyz      1   3.50     418.41      49.73       0.00
     mol_0258_0001.xyz      1   3.50     495.68      57.78       0.00
     mol_0259_0001.xyz      1   3.50     432.97      50.83       0.00
     mol_0260_0001.xyz      1   3.50     372.91      56.76       0.00
     mol_0261_0001.xyz      1   3.50     414.17      45.07       0.00
     mol_0262_0001.xyz      1   3.50     465.99      45.31       0.00
     mol_0263_0001.xyz      1   3.50     369.32      37.27       0.00
     mol_0264_0001.xyz      1   3.50     520.23      48.57       0.00
     mol_0265_0001.xyz      1   3.50     352.53      42.35       0.00
     mol_0266_0001.xyz      1   3.50     439.36      55.00       0.00
     mol_0267_0001.xyz      1   3.50     478.87      50.28       0.00
     mol_0268_0001.xyz      1   3.50     344.89      45.30       0.00
     mol_0269_0001.xyz      1   3.50     365.72      46.46       0.00
     mol_0270_0001.xyz      1   3.50     376.56      28.03       0.00
     mol_0271_0001.xyz      1   3.50     403.77      44.73       0.00
     mol_0272_0001.xyz      1   3.50     387.82      46.86       0.00
     mol_0273_0001.xyz      1   3.50     497.04      52.85       0.00
     mol_0275_0001.xyz      1   3.50     337.99      61.83       0.00
     mol_0276_0001.xyz      1   3.50     462.08      59.18       0.00
     mol_0277_0001.xyz      1   3.50     601.43      47.50       0.00
     mol_0279_0001.xyz      1   3.50     422.72      38.23       0.00
     mol_0280_0001.xyz      1   3.50     324.40      44.77       0.00
     mol_0281_0001.xyz      1   3.50     327.12      55.66       0.00
     mol_0282_0001.xyz      1   3.50     476.22      63.65       0.00
     mol_0283_0001.xyz      1   3.50     443.11      48.26       0.00
     mol_0284_0001.xyz      1   3.50     385.77      50.58       0.00
     mol_0285_0001.xyz      1   3.50     432.67      49.31       0.00
     mol_0286_0001.xyz      1   3.50     395.31      61.19       0.00
     mol_0287_0001.xyz      1   3.50     400.87      47.36       0.00
     mol_0288_0001.xyz      1   3.50     536.60      51.51       0.00
     mol_0289_0001.xyz      1   3.50     367.88      56.98       0.00
     mol_0290_0001.xyz      1   3.50     405.44      54.74       0.00
     mol_0291_0001.xyz      1   3.50     414.44      59.42       0.00
     mol_0292_0001.xyz      1   3.50     538.90      59.73       0.00
     mol_0293_0001.xyz      1   3.50     331.60      48.60       0.00
     mol_0294_0001.xyz      1   3.50     265.00      51.61       0.00
     mol_0295_0001.xyz      1   3.50     381.10      54.90       0.00
     mol_0296_0001.xyz      1   3.50     344.64      50.77       0.00
     mol_0297_0001.xyz      1   3.50     464.87      49.77       0.00
     mol_0298_0001.xyz      1   3.50     307.62      48.45       0.00
     mol_0299_0001.xyz      1   3.50     421.04      59.35       0.00
     mol_0300_0001.xyz      1   3.50     413.39      62.65       0.00
     mol_0301_0001.xyz      1   3.50     485.07      58.26       0.00
     mol_0302_0001.xyz      1   3.50     550.38      48.63       0.00
     mol_0303_0001.xyz      1   3.50     491.05      48.58       0.00
     mol_0304_0001.xyz      1   3.50     515.15      46.22       0.00
     mol_0305_0001.xyz      1   3.50     596.97      54.47       0.00
     mol_0306_0001.xyz      1   3.50     462.57      49.65       0.00
     mol_0307_0001.xyz      1   3.50     416.93      48.73       0.00
     mol_0308_0001.xyz      1   3.50     432.73      55.76       0.00
     mol_0309_0001.xyz      1   3.50     590.90      64.33       0.00
     mol_0310_0001.xyz      1   3.50     501.09      45.08       0.00
     mol_0311_0001.xyz      1   3.50     459.81      59.30       0.00
     mol_0312_0001.xyz      1   3.50     472.79      30.97       0.00
     mol_0313_0001.xyz      1   3.50     404.59      46.79       0.00
     mol_0314_0001.xyz      1   3.50     375.23      52.83       0.00
     mol_0315_0001.xyz      1   3.50     406.32      45.63       0.00
     mol_0316_0001.xyz      1   3.50     444.53      52.83       0.00
     mol_0317_0001.xyz      1   3.50     472.89      55.12       0.00
     mol_0318_0001.xyz      1   3.50     535.01      50.46       0.00
     mol_0319_0001.xyz      1   3.50     388.25      56.16       0.00
     mol_0320_0001.xyz      1   3.50     371.68      58.64       0.00
     mol_0321_0001.xyz      1   3.50     535.69      51.11       0.00
     mol_0322_0001.xyz      1   3.50     465.12      68.46       0.00
     mol_0323_0001.xyz      1   3.50     407.90      45.70       0.00
     mol_0324_0001.xyz      1   3.50     453.04      45.10       0.00
     mol_0325_0001.xyz      1   3.50     362.16      49.31       0.00
     mol_0326_0001.xyz      1   3.50     488.14      60.18       0.00
     mol_0327_0001.xyz      1   3.50     509.02      55.93       0.00
     mol_0328_0001.xyz      1   3.50     371.15      43.71       0.00
     mol_0329_0001.xyz      1   3.50     454.70      50.45       0.00
     mol_0330_0001.xyz      1   3.50     479.56      48.82       0.00
     mol_0331_0001.xyz      1   3.50     540.75      50.47       0.00
     mol_0332_0001.xyz      1   3.50     300.11      55.34       0.00
     mol_0333_0001.xyz      1   3.50     450.96      55.52       0.00
     mol_0334_0001.xyz      1   3.50     351.83      61.50       0.00
